Mouse#,Group,t0,t15,t30,t45,t60,t90,t120
1901,Lean,111,250,209,176,160,142,133
1902,Lean,110,210,174,160,149,141,117
1909,Lean,103,287,223,195,184,152,134
1911,Lean,105,202,176,171,134,106,107
1914,Obese,168,305,214,209,238,165,158
1917,Obese,131,229,208,203,198,164,154
1919,Obese,168,282,280,280,258,202,165
1921,Obese,196,342,334,315,307,292,228
1928,WL,106,166,140,141,126,104,100
1931,WL,111,187,156,173,150,150,120
1933,WL,134,218,196,144,128,154,
1935,WL,127,228,184,129,143,123,127
1937,WC,147,338,368,337,320,210,215
1938,WC,172,356,349,327,301,244,188
1944,WC,204,375,374,356,342,316,293
1946,WC,173,341,395,300,248,220,189